运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
2.725,-0.449,1.319,1.257,-0.0107,0.032,0.030,-0.044,0.314,-1.257,-0.0011,0.008,-0.030
2.750,-0.416,1.319,1.257,-0.0099,0.032,0.030,-0.036,0.251,-1.885,-8.6250E-4,0.006,-0.045
2.775,-0.383,1.382,1.885,-0.0091,0.033,0.045,-0.031,0.220,-0.628,-7.5000E-4,0.005,-0.015
2.800,-0.347,1.414,0.628,-0.0083,0.034,0.015,-0.025,0.220,3.775E-14,-6.0000E-4,0.005,9.368E-16
2.825,-0.313,1.414,2.398E-13,-0.0075,0.034,5.551E-15,-0.020,0.220,3.941E-14,-4.8750E-4,0.005,9.368E-16
2.850,-0.276,1.414,-2.220E-14,-0.0066,0.034,0.000,-0.014,0.220,0.000,-3.3750E-4,0.005,0.000
2.875,-0.242,1.414,0.628,-0.0058,0.034,0.015,-0.009,0.220,-3.941E-14,-2.2500E-4,0.005,-9.194E-16
2.900,-0.206,1.445,-2.531E-13,-0.0049,0.034,-5.551E-15,-0.003,0.220,-0.628,-7.5000E-5,0.005,-0.015
2.925,-0.170,1.414,-1.885,-0.0040,0.034,-0.045,0.002,0.188,-0.628,3.7500E-5,0.004,-0.015
2.950,-0.135,1.351,-3.142,-0.0032,0.032,-0.075,0.006,0.188,3.442E-14,1.5000E-4,0.005,7.806E-16
2.975,-0.102,1.257,-3.142,-0.0024,0.030,-0.075,0.011,0.188,-0.628,2.6250E-4,0.005,-0.015
3.000,-0.072,1.194,-1.257,-0.0017,0.028,-0.030,0.016,0.157,-1.257,3.7500E-4,0.004,-0.030
3.025,-0.042,1.194,-1.885,-0.0010,0.028,-0.045,0.019,0.126,-0.628,4.5000E-4,0.003,-0.015
3.050,-0.013,1.100,-4.398,-3.0000E-4,0.026,-0.105,0.022,0.126,-0.628,5.2500E-4,0.003,-0.015
3.075,0.013,0.974,-4.398,3.0000E-4,0.023,-0.105,0.025,0.094,-0.628,6.0000E-4,0.002,-0.015
3.100,0.036,0.880,-3.770,8.6250E-4,0.021,-0.090,0.027,0.094,1.388E-15,6.3750E-4,0.002,0.000
3.125,0.057,0.785,-3.770,0.0014,0.019,-0.090,0.030,0.094,-1.257,7.1250E-4,0.002,-0.030
3.150,0.075,0.691,-4.398,0.0018,0.016,-0.105,0.031,0.031,-1.257,7.5000E-4,7.500E-4,-0.030
3.175,0.091,0.565,-5.027,0.0022,0.013,-0.120,0.031,0.031,4.163E-15,7.5000E-4,7.500E-4,1.344E-16
3.200,0.104,0.440,-5.027,0.0025,0.011,-0.120,0.033,0.031,-1.257,7.8750E-4,7.500E-4,-0.030
3.225,0.113,0.314,-5.027,0.0027,0.008,-0.120,0.033,-0.031,-1.257,7.8750E-4,-7.500E-4,-0.030
3.250,0.119,0.188,-5.027,0.0029,0.004,-0.120,0.031,-0.031,5.551E-15,7.5000E-4,-7.500E-4,1.344E-16
3.275,0.123,0.063,-5.655,0.0029,0.001,-0.135,0.031,-0.031,-0.628,7.5000E-4,-7.500E-4,-0.015
3.300,0.123,-0.094,-5.655,0.0029,-0.002,-0.135,0.030,-0.063,-1.257,7.1250E-4,-0.002,-0.030
3.325,0.118,-0.220,-5.027,0.0028,-0.005,-0.120,0.028,-0.094,-1.257,6.7500E-4,-0.002,-0.030
3.350,0.112,-0.346,-5.027,0.0027,-0.008,-0.120,0.025,-0.126,-0.628,6.0000E-4,-0.003,-0.015
3.375,0.101,-0.471,-4.398,0.0024,-0.011,-0.105,0.022,-0.126,2.220E-14,5.2500E-4,-0.003,5.378E-16
3.400,0.088,-0.565,-4.398,0.0021,-0.013,-0.105,0.019,-0.126,-0.628,4.5000E-4,-0.003,-0.015
3.425,0.072,-0.691,-5.027,0.0017,-0.017,-0.120,0.016,-0.157,-1.257,3.7500E-4,-0.004,-0.030
3.450,0.053,-0.817,-4.398,0.0013,-0.020,-0.105,0.011,-0.188,-0.628,2.6250E-4,-0.005,-0.015
3.475,0.031,-0.911,-3.770,7.5000E-4,-0.022,-0.090,0.006,-0.188,-5.551E-16,1.5000E-4,-0.005,-1.735E-17
3.500,0.008,-1.005,-3.770,1.8750E-4,-0.024,-0.090,0.002,-0.188,-0.628,3.7500E-5,-0.005,-0.015
3.525,-0.019,-1.100,-3.142,-4.5000E-4,-0.026,-0.075,-0.003,-0.220,-0.628,-7.5000E-5,-0.005,-0.015
3.550,-0.047,-1.162,-2.513,-0.0011,-0.028,-0.060,-0.009,-0.220,-3.997E-14,-2.2500E-4,-0.005,-9.368E-16
3.575,-0.077,-1.225,-2.513,-0.0018,-0.029,-0.060,-0.014,-0.220,-3.941E-14,-3.3750E-4,-0.005,-9.541E-16
3.600,-0.108,-1.288,-2.513,-0.0026,-0.031,-0.060,-0.020,-0.220,4.108E-14,-4.8750E-4,-0.005,9.541E-16
3.625,-0.141,-1.351,-2.513,-0.0034,-0.032,-0.060,-0.025,-0.220,-1.257,-6.0000E-4,-0.005,-0.030
3.650,-0.176,-1.414,-1.885,-0.0042,-0.034,-0.045,-0.031,-0.283,-1.885,-7.5000E-4,-0.007,-0.045
3.675,-0.212,-1.445,-0.628,-0.0051,-0.035,-0.015,-0.039,-0.314,-5.107E-14,-9.3750E-4,-0.008,-1.197E-15
3.700,-0.248,-1.445,0.628,-0.0059,-0.035,0.015,-0.047,-0.283,0.628,-0.0011,-0.007,0.015
3.725,-0.284,-1.414,0.628,-0.0068,-0.034,0.015,-0.053,-0.283,-0.628,-0.0013,-0.007,-0.015
3.750,-0.319,-1.414,2.398E-13,-0.0076,-0.034,6.661E-15,-0.061,-0.314,4.996E-14,-0.0015,-0.007,1.197E-15
3.775,-0.355,-1.414,0.628,-0.0085,-0.034,0.015,-0.069,-0.283,0.628,-0.0017,-0.007,0.015
3.800,-0.390,-1.382,1.257,-0.0093,-0.033,0.030,-0.075,-0.283,-4.996E-14,-0.0018,-0.007,-1.197E-15
3.825,-0.424,-1.351,1.885,-0.0101,-0.032,0.045,-0.083,-0.283,1.257,-0.0020,-0.007,0.030
3.850,-0.457,-1.288,2.513,-0.0109,-0.031,0.060,-0.090,-0.220,1.257,-0.0021,-0.005,0.030
3.875,-0.489,-1.225,2.513,-0.0117,-0.029,0.060,-0.094,-0.220,3.886E-14,-0.0023,-0.005,9.368E-16
3.900,-0.518,-1.162,2.513,-0.0124,-0.028,0.060,-0.101,-0.220,1.257,-0.0024,-0.005,0.030
3.925,-0.547,-1.100,3.142,-0.0130,-0.026,0.075,-0.105,-0.157,1.885,-0.0025,-0.004,0.045
3.950,-0.573,-1.005,4.398,-0.0137,-0.024,0.105,-0.108,-0.126,1.257,-0.0026,-0.003,0.030
3.975,-0.597,-0.880,4.398,-0.0142,-0.021,0.105,-0.112,-0.094,1.257,-0.0027,-0.002,0.030
