运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
4.325,-0.104,1.382,-2.513,-0.0025,0.033,-0.060,0.030,-0.346,0.000,7.1250E-4,-0.008,-3.469E-17
4.350,-0.069,1.288,-5.027,-0.0016,0.031,-0.120,0.020,-0.346,-1.232E-13,4.8750E-4,-0.008,-2.984E-15
4.375,-0.039,1.131,-4.398,-9.3750E-4,0.027,-0.105,0.013,-0.346,-1.110E-15,3.0000E-4,-0.008,-3.469E-17
4.400,-0.013,1.068,-2.513,-3.0000E-4,0.026,-0.060,0.003,-0.346,1.257,7.5000E-5,-0.008,0.030
4.425,0.014,1.005,-4.398,3.3750E-4,0.024,-0.105,-0.005,-0.283,1.885,-1.1250E-4,-0.007,0.045
4.450,0.038,0.848,-6.283,9.0000E-4,0.020,-0.150,-0.011,-0.251,0.628,-2.6250E-4,-0.006,0.015
4.475,0.057,0.691,-5.655,0.0014,0.016,-0.135,-0.017,-0.251,0.628,-4.1250E-4,-0.006,0.015
4.500,0.072,0.565,-5.027,0.0017,0.014,-0.120,-0.024,-0.220,1.257,-5.6250E-4,-0.005,0.030
4.525,0.085,0.440,-5.655,0.0020,0.011,-0.135,-0.028,-0.188,1.885,-6.7500E-4,-0.005,0.045
4.550,0.094,0.283,-6.283,0.0023,0.007,-0.150,-0.033,-0.126,2.513,-7.8750E-4,-0.003,0.060
4.575,0.099,0.126,-6.283,0.0024,0.003,-0.150,-0.035,-0.063,1.257,-8.2500E-4,-0.001,0.030
4.600,0.101,-0.031,-6.912,0.0024,-7.500E-4,-0.165,-0.036,-0.063,0.628,-8.6250E-4,-0.002,0.015
4.625,0.097,-0.220,-6.912,0.0023,-0.005,-0.165,-0.038,-0.031,1.257,-9.0000E-4,-7.500E-4,0.030
4.650,0.090,-0.377,-5.655,0.0021,-0.009,-0.135,-0.038,0.000,1.257,-9.0000E-4,0.000,0.030
4.675,0.079,-0.503,-5.655,0.0019,-0.012,-0.135,-0.038,0.031,1.257,-9.0000E-4,7.500E-4,0.030
4.700,0.064,-0.660,-6.283,0.0015,-0.016,-0.150,-0.036,0.063,1.257,-8.6250E-4,0.001,0.030
4.725,0.046,-0.817,-5.655,0.0011,-0.020,-0.135,-0.035,0.094,1.885,-8.2500E-4,0.002,0.045
4.750,0.024,-0.942,-4.398,5.6250E-4,-0.023,-0.105,-0.031,0.157,1.885,-7.5000E-4,0.004,0.045
4.775,-0.002,-1.037,-3.770,-3.7500E-5,-0.025,-0.090,-0.027,0.188,1.257,-6.3750E-4,0.004,0.030
4.800,-0.028,-1.131,-3.770,-6.7500E-4,-0.027,-0.090,-0.022,0.220,1.885,-5.2500E-4,0.005,0.045
4.825,-0.058,-1.225,-3.770,-0.0014,-0.029,-0.090,-0.016,0.283,1.257,-3.7500E-4,0.007,0.030
4.850,-0.090,-1.319,-3.142,-0.0021,-0.032,-0.075,-0.008,0.283,0.628,-1.8750E-4,0.007,0.015
4.875,-0.124,-1.382,-1.885,-0.0030,-0.033,-0.045,-0.002,0.314,1.257,-3.7500E-5,0.008,0.030
4.900,-0.159,-1.414,-1.885,-0.0038,-0.034,-0.045,0.008,0.346,0.628,1.8750E-4,0.008,0.015
4.925,-0.195,-1.477,-1.257,-0.0046,-0.035,-0.030,0.016,0.346,0.628,3.7500E-4,0.008,0.015
4.950,-0.232,-1.477,5.151E-13,-0.0055,-0.035,1.221E-14,0.025,0.377,-1.232E-13,6.0000E-4,0.009,-2.984E-15
4.975,-0.269,-1.477,0.628,-0.0064,-0.035,0.015,0.035,0.346,-1.257,8.2500E-4,0.008,-0.030
5.000,-0.306,-1.445,1.885,-0.0073,-0.035,0.045,0.042,0.314,-1.257,0.0010,0.008,-0.030
5.025,-0.341,-1.382,1.257,-0.0081,-0.033,0.030,0.050,0.283,-1.257,0.0012,0.007,-0.030
