in s,C1 in V
-1.8722880E-04,2.027934930969E+00
-1.8721920E-04,2.028127280094E+00
-1.8720960E-04,2.027598912895E+00
-1.8720000E-04,2.028867312625E+00
-1.8719040E-04,2.028064253528E+00
-1.8718080E-04,2.029072096303E+00
-1.8717120E-04,2.028186928306E+00
-1.8716160E-04,2.027376233071E+00
-1.8715200E-04,2.027996279572E+00
-1.8714240E-04,2.028640176386E+00
-1.8713280E-04,2.027875991587E+00
-1.8712320E-04,2.028486498122E+00
-1.8711360E-04,2.027799108003E+00
-1.8710400E-04,2.028239810199E+00
-1.8709440E-04,2.029024891455E+00
-1.8708480E-04,2.028013993103E+00
-1.8707520E-04,2.028523165837E+00
-1.8706560E-04,2.028355341416E+00
-1.8705600E-04,2.027909102340E+00
-1.8704640E-04,2.028305348505E+00
-1.8703680E-04,2.027915828612E+00
-1.8702720E-04,2.028054787249E+00
-1.8701760E-04,2.028184681677E+00
-1.8700800E-04,2.028815860406E+00
-1.8699840E-04,2.028340592154E+00
-1.8698880E-04,2.027631263558E+00
-1.8697920E-04,2.028284166914E+00
-1.8696960E-04,2.028517114755E+00
-1.8696000E-04,2.027889283143E+00
-1.8695040E-04,2.027887084570E+00
-1.8694080E-04,2.028473324303E+00
-1.8693120E-04,2.028779891909E+00
-1.8692160E-04,2.026936705850E+00
-1.8691200E-04,2.028412851926E+00
-1.8690240E-04,2.028125214477E+00
-1.8689280E-04,2.027559278507E+00
-1.8688320E-04,2.027192073532E+00
-1.8687360E-04,2.028941847060E+00
-1.8686400E-04,2.027098234103E+00
-1.8685440E-04,2.028620491747E+00
-1.8684480E-04,2.027906587396E+00
-1.8683520E-04,2.028248634927E+00
-1.8682560E-04,2.027846279212E+00
-1.8681600E-04,2.028096231755E+00
-1.8680640E-04,2.027283671938E+00
-1.8679680E-04,2.028567499325E+00
-1.8678720E-04,2.027538642355E+00
-1.8677760E-04,2.028405664314E+00
-1.8676800E-04,2.027649291058E+00
-1.8675840E-04,2.028826210920E+00
-1.8674880E-04,2.027088553973E+00
-1.8673920E-04,2.027796273485E+00
-1.8672960E-04,2.027020769839E+00
-1.8672000E-04,2.027319861494E+00
-1.8671040E-04,2.027590393324E+00
-1.8670080E-04,2.028470644366E+00
-1.8669120E-04,2.028530174841E+00
-1.8668160E-04,2.028375111755E+00
-1.8667200E-04,2.027061677717E+00
-1.8666240E-04,2.028090006069E+00
-1.8665280E-04,2.028070588142E+00
-1.8664320E-04,2.027903122541E+00
-1.8663360E-04,2.027834969975E+00
-1.8662400E-04,2.028174096488E+00
-1.8661440E-04,2.027573986922E+00
-1.8660480E-04,2.028443342813E+00
-1.8659520E-04,2.028022758562E+00
-1.8658560E-04,2.027890415669E+00
-1.8657600E-04,2.028195021779E+00
-1.8656640E-04,2.029076181084E+00
-1.8655680E-04,2.027318301268E+00
-1.8654720E-04,2.028815225263E+00
-1.8653760E-04,2.027513217397E+00
-1.8652800E-04,2.028733254124E+00
-1.8651840E-04,2.028012384821E+00
-1.8650880E-04,2.028598360245E+00
-1.8649920E-04,2.027975335058E+00
-1.8648960E-04,2.027446743597E+00
-1.8648000E-04,2.027692978990E+00
-1.8647040E-04,2.028283173751E+00
-1.8646080E-04,2.027135194160E+00
-1.8645120E-04,2.027905126486E+00
-1.8644160E-04,2.028338580199E+00
-1.8643200E-04,2.029044210866E+00
-1.8642240E-04,2.028326108002E+00
-1.8641280E-04,2.028408333838E+00
-1.8640320E-04,2.026819505480E+00
-1.8639360E-04,2.028749186371E+00
-1.8638400E-04,2.028134901815E+00
-1.8637440E-04,2.027758249782E+00
-1.8636480E-04,2.027476395101E+00
-1.8635520E-04,2.028892791246E+00
-1.8634560E-04,2.027136192128E+00
-1.8633600E-04,2.027504796341E+00
-1.8632640E-04,2.027654159155E+00
-1.8631680E-04,2.027716022760E+00
-1.8630720E-04,2.027923661780E+00
-1.8629760E-04,2.028479147919E+00
-1.8628800E-04,2.027717387557E+00
-1.8627840E-04,2.027838111252E+00
-1.8626880E-04,2.027750278853E+00
-1.8625920E-04,2.028435960573E+00
-1.8624960E-04,2.027812426791E+00
-1.8624000E-04,2.027952678141E+00
-1.8623040E-04,2.028138077531E+00
-1.8622080E-04,2.027576511477E+00
-1.8621120E-04,2.027965878390E+00
-1.8620160E-04,2.028009529479E+00
-1.8619200E-04,2.027996406120E+00
-1.8618240E-04,2.028126973335E+00
-1.8617280E-04,2.027091525451E+00
-1.8616320E-04,2.027584159628E+00
-1.8615360E-04,2.027637517278E+00
-1.8614400E-04,2.027685091358E+00
-1.8613440E-04,2.027304849524E+00
-1.8612480E-04,2.029245112401E+00
