in s,C1 in V
-1.8536160E-04,2.92969E-02
-1.8535200E-04,2.92969E-02
-1.8534240E-04,4.88281E-02
-1.8533280E-04,4.88281E-02
-1.8532320E-04,2.92969E-02
-1.8531360E-04,9.76562E-03
-1.8530400E-04,9.76562E-03
-1.8529440E-04,4.88281E-02
-1.8528480E-04,2.92969E-02
-1.8527520E-04,2.92969E-02
-1.8526560E-04,4.88281E-02
-1.8525600E-04,8.78906E-02
-1.8524640E-04,4.88281E-02
-1.8523680E-04,9.76562E-03
-1.8522720E-04,4.88281E-02
-1.8521760E-04,9.76562E-03
-1.8520800E-04,4.88281E-02
-1.8519840E-04,9.76562E-03
-1.8518880E-04,9.76562E-03
-1.8517920E-04,2.92969E-02
-1.8516960E-04,9.76562E-03
-1.8516000E-04,4.88281E-02
-1.8515040E-04,9.76562E-03
-1.8514080E-04,2.92969E-02
-1.8513120E-04,9.76562E-03
-1.8512160E-04,9.76562E-03
-1.8511200E-04,9.76562E-03
-1.8510240E-04,9.76562E-03
-1.8509280E-04,9.76562E-03
-1.8508320E-04,9.76562E-03
-1.8507360E-04,9.76562E-03
-1.8506400E-04,9.76562E-03
-1.8505440E-04,9.76562E-03
-1.8504480E-04,9.76562E-03
-1.8503520E-04,2.92969E-02
-1.8502560E-04,2.92969E-02
-1.8501600E-04,9.76562E-03
-1.8500640E-04,4.88281E-02
-1.8499680E-04,9.76562E-03
-1.8498720E-04,6.83594E-02
-1.8497760E-04,9.76562E-03
-1.8496800E-04,2.92969E-02
-1.8495840E-04,9.76562E-03
-1.8494880E-04,9.76562E-03
-1.8493920E-04,9.76562E-03
-1.8492960E-04,4.88281E-02
-1.8492000E-04,9.76562E-03
-1.8491040E-04,9.76562E-03
-1.8490080E-04,2.92969E-02
-1.8489120E-04,4.88281E-02
-1.8488160E-04,2.92969E-02
-1.8487200E-04,9.76562E-03
-1.8486240E-04,2.92969E-02
-1.8485280E-04,2.92969E-02
-1.8484320E-04,9.76562E-03
-1.8483360E-04,9.76562E-03
-1.8482400E-04,9.76562E-03
-1.8481440E-04,9.76562E-03
-1.8480480E-04,9.76562E-03
